# mac_addr	mangled	demangled
# source: Mac PEF traceback tables; addr = 0x10000000 + code-section offset
# NOTE: old lift-comment mac addrs came from a DIFFERENT Mac build - match by NAME
0x10000004	.ClearDoubleClicked__15GInterfaceFlagsFv	GInterfaceFlags::ClearDoubleClicked()
0x10000054	.InsideExclusion__15CameraExclusionF7LHPoint	CameraExclusion::InsideExclusion(LHPoint)
0x100001c4	.PlaySoundEffect__6GAudioFP4BaseUlUlUlii19AUDIO_SFX_BANK_TYPE	GAudio::PlaySoundEffect(Base*, unsigned long, unsigned long, unsigned long, int, int, AUDIO_SFX_BANK_TYPE)
0x10000244	.PlaySoundEffect__6GAudioFP4BaseUlUlUliiP12LH_AudioBank	GAudio::PlaySoundEffect(Base*, unsigned long, unsigned long, unsigned long, int, int, LH_AudioBank*)
0x100003c4	.ClearSelect__15GInterfaceFlagsFv	GInterfaceFlags::ClearSelect()
0x10000414	.Clear__12ScriptManageFv	ScriptManage::Clear()
0x10000474	.ClearThingOnly__12ScriptManageFv	ScriptManage::ClearThingOnly()
0x100004c4	.PlaySoundEffect__6GAudioFP4BaseRC7LHPointUlUlUliiP12LH_AudioBank	GAudio::PlaySoundEffect(Base*, const LHPoint&, unsigned long, unsigned long, unsigned long, int, int, LH_AudioBank*)
0x10000644	.ClearSelectLockOff__15GInterfaceFlagsFv	GInterfaceFlags::ClearSelectLockOff()
0x10000694	.GetFieldActivity__5FieldFi	Field::GetFieldActivity(int)
0x10000734	.GetPercentFull__5FieldFv	Field::GetPercentFull()
0x10000794	.IsDeletedWhenReleasedFromScript__16GameThingWithPosFv	GameThingWithPos::IsDeletedWhenReleasedFromScript()
0x100007e4	.GetResourceHeld__8VillagerFR13RESOURCE_TYPE	Villager::GetResourceHeld(RESOURCE_TYPE&)
0x10000874	.IsScriptHighlight__16GameThingWithPosFv	GameThingWithPos::IsScriptHighlight()
0x100008c4	.GetScriptObjectType__16GameThingWithPosFv	GameThingWithPos::GetScriptObjectType()
0x10000914	.RemoveThingMusic__6GAudioFP16GameThingWithPos	GAudio::RemoveThingMusic(GameThingWithPos*)
0x10000a44	.CalculateJunction__13GestureSystemFll	GestureSystem::CalculateJunction(long, long)
0x10000c74	.GetPreviousKeyPointOffset__13GestureSystemFl	GestureSystem::GetPreviousKeyPointOffset(long)
0x10000d24	.cap__Q23std38__vector_pod<Ul,Q23std13allocator<Ul>>Fv	std::__vector_pod<Ul,Q23std13allocator<Ul>>::cap()
0x10000d74	.IsTown__4TownFv	Town::IsTown()
